,Laptop Name,Price
0,"Lenovo Thinkpad X201 - 12""  Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40"
1,Lenovo V14-IGL -14.0″ -  Intel N4020 - 4GB DDR4 RAM - 1TB HDD - Grey,"GH₵ 2,449.00"
2,"Lenovo IdeaPad-1-11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 - Windows 10 - Grey","GH₵ 2,189.00"
3,"(photo) Both Sides Extended PU leather Mouse Pad / Mat,Large Office Gaming Desk Mat-White (white)",GH₵ 169.00
4,Hp Pavilion 15- EG1053CL - Touch screen Intel Core i5-11th Gen.12GB RAM 512GB SSD Win 11 - Silver,"GH₵ 5,299.00"
5,10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059  - Black,GH₵ 865.00
6,Hp 15-dw1081wm Intel Pentium Gold 6405U Laptop - 4GB DDR4 RAM - 500GB HDD - Windows 10 - Scarlet Red,"GH₵ 2,798.00"
7,Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - Black,"GH₵ 2,949.00"
8,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 2,677.44"
9,Hp 15 Notebook Laptop -15.6'' - Intel® Celeron®  500GB HDD - 4GB RAM - Windows 10 - Black,"GH₵ 2,789.00"
10,Hp Laptop 17.3 inch - AMD Athlon Silver 3050U  - 4GB RAM - 256GB SSD - Windows 10 - Silver,"GH₵ 3,299.00"
11,"Hp ProBook 450 G2 - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black","GH₵ 2,910.00"
12,"Hp 240 G7 - 14"" - 14"" Intel Pentium Silver N5030 up to 3.10 - 1TB HDD - 4GB RAM - Windows 10 - Grey","GH₵ 2,700.00"
13,"Lenovo IdeaPad 3 15IGL05 81WQ Intel Celeron N4020 Dual Core -  15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Platinum Grey","GH₵ 2,590.00"
