,Phones & Accessories,Price
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00
1,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00
2,TCL L7 - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 399.00
3,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00
4,Samsung Micro SD Memory Card - 64GB - Red/White,GH₵ 50.00
5,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48
6,116Plus Digital Smart Watch 116 Plus- Black,GH₵ 35.00
7,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 49.00
8,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 176.00
9,IOOIOO F9 Bluetooth Earbuds - Black,GH₵ 62.00
10,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00
11,Itel It 2173 Dual SIM Feature Phone  - Blue,GH₵ 94.00
12,MicroSDHC Card – 64GB Black,GH₵ 46.50
13,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04
14,Color Screen Smart Bracelet Waterproof Bracelet,GH₵ 46.08
15,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00
16,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00
17,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00
18,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48
19,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00
20,Samsung Galaxy SM-A127F/DS - 64GB HDD - 4GB RAM Smartphone - Blue,GH₵ 989.77
21,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 48.00
22,Samsung Galaxy A125F/DS  -  128GB HDD  -  4GB RAM Smartphone  -  Black,"GH₵ 1,064.77"
23,F9 Bluetooth Earphone - Black,GH₵ 59.00
24,Lenovo XT92 Gaming Headset Low Latency Touch Bluetooth 5.1 Headset HiFi Stereo black,GH₵ 67.20
25,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Dazzle Black,GH₵ 493.83
26,Samsung Galaxy A22 Dual SIM  -  64GB HDD  -  4GB RAM Smartphone 5G  - Black,"GH₵ 1,272.73"
27,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 108.00
28,Pro 6 Bluetooth Earphone - White,GH₵ 49.00
29,9H Nano Liquid Screen Protector for all Smartphones/tablets/Smart watches,GH₵ 15.00
30,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00
31,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 142.00
32,Nokia 105  4th Edition) Dual SIM Feature  Phone -   Blue,GH₵ 124.00
33,Itel It 2173 Dual SIM Feature Phone  - Blue,GH₵ 94.00
34,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 121.00
35,Nokia E63 Keypad Wifi 3G 2MP Mobile BASIC Bar Phone Cell Phone,GH₵ 205.00
36,Nokia 105 Dual SIM 4th Generation  - 32MB ROM‎ - 4MB RAM Cell Phone - Black + Free 3310 Phone,GH₵ 230.00
37,Nokia 210 GSM 2.4`Dual SIM Cards MP QWERTY Keyboard Mobile Phone,GH₵ 270.00
38,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 79.00
39,Itel A16 PLUS  8GB HDD - 1GB RAM - Black + Free Back Case,GH₵ 290.00
40,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 121.00
41,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 139.00
42,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 142.00
43,Motorola Razr V3 Classic Flip Phone Dual Screen Silver,GH₵ 250.00
44,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 120.00
45,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00
46,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Dazzle Black,GH₵ 493.83
47,X-INOVA Magic 9 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Blue,GH₵ 307.20
48,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00
49,Anica T8 1.54 Inch 400mAh Ultra Thin Dual SIM Blu Black (bla,GH₵ 369.00
50,X-INOVA Magic 9 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 320.00
51,X-INOVA Magic 8 - 16GB HDD-2GB RAM - Green,GH₵ 330.00
52,"Amazon Kindle Fire HD 7 Kids Tablet - 16GB HDD - 1GB RAM -  7"" - Red",GH₵ 595.00
53,TCL L7 - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 399.00
54,X-INOVA Magic 6 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 307.20
55,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 558.57
56,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM 4G LTE Smartphone - Black,GH₵ 698.00
57,X-INOVA Magic 8 - 16GB HDD-2GB RAM - Blue,GH₵ 330.00
58,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 482.00
59,"LG G4 H815 Single SIM 5.5"" Smartphone -  3GB RAM - 32GB HDD -Black",GH₵ 504.00
60,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 700.00
61,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Headset - White,GH₵ 71.00
62,Wireless  Bluetooth 5.0 Earphones - 2200mAh Black,GH₵ 48.00
63,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 29.00
64,P47 Wireless Foldable Bluetooth Headset -   Black,GH₵ 35.00
65,P47 Wireless Headset -   White,GH₵ 35.00
66,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 36.48
67,Oraimo OCD-M53 Data cable 1 meter   5V2A Micro-USB,GH₵ 7.80
68,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 34.00
69,TWS Air Pro 6 Bluetooth Earphone Earbuds HiFi Stereo Touch Sensor Control Mic For Android & IOS,GH₵ 55.00
70,Wireless Bluetooth Earphones - White,GH₵ 37.50
71,"Wireless Bluetooth Earphone For iPhone, Samsung Pods - Black",GH₵ 37.00
72,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 249.00
73,Oraimo FreePods3 True Wireless Stereo Earbuds - Black,GH₵ 176.00
74,Air Pro 6 Bluetooth Headset 5.0 Stereo Sport Music Earphones With Mic For IOS Android IPhone,GH₵ 47.04
